section,type,source_id,target_id,description
7,regulated_by,corporation,food_standard,Corporations are regulated by food standards in relation to the sale of food and activities connected with food.
7,regulated_by,trading_corporation,food_standard,Trading corporations are regulated by food standards in relation to their trading activities connected with food.
7,ensures_efficiency,trade_and_commerce,food_standard,Trade and commerce regulations ensure the efficiency and profitability of food commerce between Australia and other places or among the States.
7,regulates,territories_regulation,food_standard,Territories regulation is connected with the regulation of food and food standards in the Territories.
7,controls_standards,commonwealth_standards_control,food_standard,Commonwealth Standards Control is connected with controlling the standards of food supplied to the Commonwealth and its entities.
7,fixes,weights_and_measures,food_standard,Weights and measures are fixed in respect of food standards.
8,binding,FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 - SECT 10,Crown,"The Act binds the Crown in right of the Commonwealth, of each of the States, of the Australian Capital Territory and of the Northern Territory."
8,exemption,Crown,FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991 - SECT 10,The Crown is not liable to be prosecuted for an offence under this Act.
9,applies_to,Chapter 2 of the Criminal Code,FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991,Chapter 2 of the Criminal Code applies to all offences against the FOOD STANDARDS AUSTRALIA NEW ZEALAND ACT 1991.
10,continued_as,Australia New Zealand Food Authority,Food Standards Australia New Zealand,The Australia New Zealand Food Authority is continued as Food Standards Australia New Zealand.
10,governed_by,Food Standards Australia New Zealand,Acts Interpretation Act 1901,Food Standards Australia New Zealand is governed by provisions in the Acts Interpretation Act 1901.
10,subject_to,Food Standards Australia New Zealand,"Public Governance, Performance and Accountability Act 2013","Food Standards Australia New Zealand is subject to the Public Governance, Performance and Accountability Act 2013."
11,responsible_for,Authority,Australia_New_Zealand_Food_Standards_Code,The Authority is responsible for developing and reviewing the Australia New Zealand Food Standards Code.
11,consultation,Authority,States_and_Territories,"The Authority consults with the States and Territories on various functions including harmonisation of laws, monitoring, surveillance, enforcement, research, and education initiatives related to food."
11,cooperation,Authority,Minister_administering_Part_3-3_of_Schedule_2_to_the_Competition_and_Consumer_Act_2010,The Authority cooperates with the Minister to coordinate the recall of food under Commonwealth law.
11,request_service,New_Zealand,Authority,New Zealand can request the Authority to perform functions similar to those it performs for the States and Territories of Australia.
11,provide_advice,Authority,Minister_administering_Part_3-3_of_Schedule_2_to_the_Competition_and_Consumer_Act_2010,The Authority provides advice to the Minister on matters relating to food.
12,has_power_to,Authority,enter_into_contracts,The Authority has the power to enter into contracts.
12,has_power_to,Authority,acquire_hold_dispose_property,"The Authority has the power to acquire, hold and dispose of real or personal property."
12,has_power_to,Authority,occupy_use_control_land_building,"The Authority has the power to occupy, use and control any land or building owned, or held under lease, by the Commonwealth and made available for the purposes of the Authority."
12,has_power_to,Authority,engage_persons,The Authority has the power to engage persons to perform services for the Authority.
12,has_power_to,Authority,provide_assistance,"The Authority has the power to provide assistance to bodies or persons to prepare submissions related to the development or consideration of draft food regulatory measures or draft variations of food regulatory measures, or related to the performance of any other function of the Authority."
12,has_power_to,Authority,accept_gifts_grants,"The Authority has the power to accept gifts, grants, bequests and advances made to the Authority and act as trustee of money or other property vested in the Authority on trust."
12,has_power_to,Authority,form_participate_companies,"The Authority has the power to form, or participate in the formation of, companies."
12,has_power_to,Authority,subscribe_for_purchase_shares,"The Authority has the power to subscribe for or purchase shares in, or debentures and other securities of, companies."
12,has_power_to,Authority,participate_partnerships,"The Authority has the power to participate in partnerships, trusts and unincorporated joint ventures."
12,has_power_to,Authority,do_incidental_things,The Authority has the power to do anything incidental to any of its powers.
12,operational_scope,Authority,within_outside_Australia,The powers of the Authority may be exercised within or outside Australia.
13,consultation,Minister,Forum_on_Food_Regulation,The Minister must consult with the Forum on Food Regulation before giving a direction to the Authority.
13,compliance,Authority,Minister,The Authority must comply with the directions given by the Minister.
13,direction,Minister,Authority,The Minister may give written directions to the Authority regarding the performance of its functions and the exercise of its powers.
13,reporting,Minister,Parliament,The Minister must cause a copy of the direction and a written statement of the reasons for giving the direction to be laid before each House of the Parliament within 15 sitting days after the direction is given.
13,legislation_reference,FOOD_STANDARDS_AUSTRALIA_NEW_ZEALAND_ACT_1991,Public_Governance_Performance_and_Accountability_Act_2013,"This section does not affect the application of section 22 of the Public Governance, Performance and Accountability Act 2013 in relation to the Authority."
14,responsible_for,Authority,food_composition,The Authority is responsible for developing standards related to the composition of food.
14,responsible_for,Authority,food_production,The Authority is responsible for developing standards related to the production of food.
14,responsible_for,Authority,food_handling,The Authority is responsible for developing standards related to the handling of food.
14,responsible_for,Authority,food_sale_prohibition,The Authority is responsible for developing standards related to the prohibition of the sale of food.
14,responsible_for,Authority,food_information,The Authority is responsible for developing standards related to information about food.
14,responsible_for,Authority,food_handler_requirements,The Authority is responsible for developing standards related to the requirements for people handling food.
14,responsible_for,Authority,business_responsibilities,The Authority is responsible for developing standards related to the responsibilities of businesses handling food.
14,responsible_for,Authority,food_temperature_measurement,The Authority is responsible for developing standards related to the use of devices to measure the temperature of food.
14,responsible_for,Authority,food_handling_premises,The Authority is responsible for developing standards related to premises for handling food.
14,responsible_for,Authority,food_business_information,The Authority is responsible for developing standards related to information from food businesses.
14,responsible_for,Authority,food_sale_restrictions,The Authority is responsible for developing standards related to restrictions on food sale.
14,responsible_for,Authority,food_advertisement_restrictions,The Authority is responsible for developing standards related to restrictions on food advertisements.
14,responsible_for,Authority,food_handling_animals_pests,The Authority is responsible for developing standards related to requirements for animals and pests in food handling.
14,responsible_for,Authority,standards_interpretation,The Authority is responsible for developing standards related to the interpretation of other standards.
14,responsible_for,Authority,standards_application,The Authority is responsible for developing standards related to the application of standards.
14,responsible_for,Authority,public_health_matters,The Authority is responsible for developing standards related to public health matters relating to food.
14,responsible_for,Authority,food_class,The Authority is responsible for developing standards that may relate to a class of food generally.
14,responsible_for,Authority,food_brand,The Authority is responsible for developing standards that may relate to a particular brand of food.
15,specifies,SECT_17,standards,Codes of practice and their variations are limited to matters that may be included in standards.
16,has_objective,Authority,public_health_and_safety,The Authority has the objective of protecting public health and safety.
16,has_objective,Authority,informed_consumer_choice,The Authority has the objective of providing adequate information to consumers.
16,has_objective,Authority,prevent_misleading_conduct,The Authority has the objective of preventing misleading or deceptive conduct.
16,must_consider,Authority,risk_analysis,The Authority must consider the need for standards to be based on risk analysis using the best available scientific evidence.
16,must_consider,Authority,consistency_with_international_standards,The Authority must consider the promotion of consistency between domestic and international food standards.
16,must_consider,Authority,food_industry_competitiveness,The Authority must consider the desirability of an efficient and internationally competitive food industry.
16,must_consider,Authority,fair_trading,The Authority must consider the promotion of fair trading in food.
16,formulates,Forum_on_Food_Regulation,policy_guidelines,The Forum on Food Regulation formulates policy guidelines for the Authority.
16,publish,Authority,policy_guidelines,The Authority must publish the policy guidelines on its website.
16,adopt_measures,Authority,sanitary_and_phytosanitary_measures,The Authority may provisionally adopt sanitary or phytosanitary measures based on available pertinent scientific information.
17,obligation,Authority,Three_Year_Forward_Plan,The Authority is obligated to develop and publish the Three Year Forward Plan.
17,consultation,Authority,interested_persons,The Authority must consult interested persons in the development of the Three Year Forward Plan.
17,review,Authority,Three_Year_Forward_Plan,The Authority must review and update the Three Year Forward Plan at least every 3 months.
18,considers,Authority,application,The Authority decides whether to accept or reject the application.
18,notifies,Authority,applicant,The Authority notifies the applicant of the acceptance of the application.
18,gives_public_notice,Authority,public,The Authority gives public notice of the application and the proposed steps for considering it.
18,assesses,Authority,application,The Authority assesses the application and may reject it or proceed to the next step.
18,calls_for,Authority,public_submissions,The Authority calls for public submissions on the application or draft food regulatory measure.
18,prepares,Authority,draft_food_regulatory_measure,The Authority prepares a draft food regulatory measure or a draft variation of a food regulatory measure.
18,considers_submissions,Authority,public_submissions,The Authority must have regard to the submissions when preparing a draft food regulatory measure.
18,decides,Authority,draft_standard_or_variation,The Authority decides whether to approve or reject the draft standard or variation and prepares a report.
18,notifies,Authority,Forum_on_Food_Regulation,The Authority notifies the Forum on Food Regulation of the approval of the draft standard or variation.
18,comes_into_effect,draft_standard_or_variation,Forum_on_Food_Regulation,The standard or variation comes into effect after consideration by the Forum on Food Regulation and publication.
19,applies_to,food_regulatory_measure,Authority,Bodies or persons may apply to the Food Standards Australia New Zealand for the development or variation of a Food Regulatory Measure.
19,specified_by,application_requirements,guidelines_section_23,The application requirements for developing or varying a food regulatory measure are specified by the Guidelines under Section 23.
19,submission_to,application_requirements,Authority,Applications meeting the application requirements must be submitted to the Food Standards Australia New Zealand.
20,can_make,Authority,application_guidelines,The Authority has the power to make application guidelines for food regulatory measures.
20,exempt_from,application_guidelines,Legislation_Act_2003,The application guidelines made by the Authority are exempt from disallowance and sunsetting provisions under the Legislation Act 2003.
20,specify_for,Authority,food_regulatory_measure,"The Authority specifies the form, information, and things to be included with applications for the development or variation of food regulatory measures."
20,enable_assessment,application_guidelines,food_regulatory_measure,The application guidelines enable the Authority to assess applications and develop or vary food regulatory measures.
20,determine_charge,application_guidelines,section_146,The application guidelines may specify information that enables the Authority to determine whether a charge under section 146 is payable in relation to the application.
21,can_withdraw_application,applicant,Authority,The applicant can withdraw their application by giving written notice to the Authority before the draft food regulatory measure is approved or the application is rejected.
21,must_refund_charge,Authority,applicant,The Authority must refund the applicant part of the charge paid under section 146 if the application is withdrawn and the charge has not been fully expended.
21,must_give_public_notice,Authority,draft_food_regulatory_measure,The Authority must give public notice that the application has been withdrawn if the notice of withdrawal is received after public notice of the application has been given under section 28 or 51.
22,adopts,Authority,general_procedure,The Authority adopts the general procedure for considering applications unless specific subdivisions or urgent application criteria apply.
22,exception,general_procedure,Subdivision_E,The general procedure does not apply to applications under Subdivision E.
22,exception,general_procedure,Subdivision_F,The general procedure does not apply to applications under Subdivision F.
22,exception,general_procedure,Subdivision_G,The general procedure does not apply to applications under Subdivision G.
22,exception,general_procedure,urgent_application,The general procedure does not apply to urgent applications as defined under section 95.
22,considered_separately,high_level_health_claims_variation,other_kind_of_variation,"If an application includes both a high level health claims variation and another kind of variation, they are considered as separate applications."
23,responsibility,Authority,subsection_22(2),The Authority must ensure that applications comply with subsection 22(2).
23,consideration,Authority,food_regulatory_measure,"The Authority must consider if the application relates to a matter that may be developed as a food regulatory measure, or that warrants the variation of a food regulatory measure."
23,evaluation_criterion,Authority,previous_application_or_proposal,The Authority must evaluate if the application is so similar to a previous application or proposal that it ought to be rejected.
23,rejection_criterion,subsection_22(2),previous_application_or_proposal,"If an application does not comply with subsection 22(2), it must be disregarded when determining the similarity of later applications or proposals."
24,notify,Authority,applicant,The Authority must notify the applicant immediately in writing upon acceptance of an application.
24,requirement,applicant,charge_under_section_146,The applicant must pay the charge under section 146 within 20 business days after notification is given if an exclusive capturable commercial benefit would be conferred.
24,consequence,applicant,Authority,"The application will be rejected if the charge, or the first instalment of the charge, is not paid within the specified period."
24,option,applicant,charge_under_section_146,The applicant may elect to have the consideration of the application expedited by paying the charge under section 146.
25,accepts,Authority,application,The Authority accepts the application for the development or variation of a food regulatory measure.
25,gives,Authority,public_notice,The Authority gives public notice of the application after accepting it.
25,requires_payment,application,exclusive_capturable_commercial_benefit,The application requires the payment of a charge if an exclusive capturable commercial benefit would be conferred on the applicant.
25,rejects,Authority,application,The Authority must reject the application if the charge for an exclusive capturable commercial benefit is not paid within the specified period.
25,updates,Authority,public_notice,The Authority updates the public notice if the charge to expedite consideration is paid after the early payment period.
26,responsible_for_assessing,Authority,food_regulatory_measure,The Authority is responsible for assessing applications that may result in the development or variation of Food Regulatory Measures.
26,consideration,Authority,New_Zealand_standards,"In assessing applications, the Authority must consider any relevant New Zealand standards."
26,guided_by,Authority,section_18,The Authority's objectives in developing or varying food regulatory measures are guided by Section 18.
27,assess,Authority,application,The Authority assesses the application submitted by the applicant.
27,prepare_or_reject,Authority,draft_food_regulatory_measure,The Authority must either prepare a draft food regulatory measure or reject the application.
27,notify,Authority,applicant,"If the Authority prepares a draft measure or variation that differs from the application, it must notify the applicant."
27,call_for_submissions,Authority,draft_food_regulatory_measure,The Authority will call for submissions for the purpose of assessing the draft measure or draft variation.
27,time_restriction,public_notice_section_31,Authority,The Authority must not give public notice under section 31 within 10 business days after notice is given to the applicant.
28,calls_for,Authority,public_notice,The Authority must give a public notice after preparing a draft food regulatory measure or variation.
28,specifies,public_notice,draft_food_regulatory_measure,The public notice must state that the Authority has prepared a draft food regulatory measure.
28,specifies,public_notice,draft_variation_of_food_regulatory_measure,The public notice must state that the Authority has prepared a draft variation of a food regulatory measure.
28,includes,public_notice,written_submissions,The public notice must call for written submissions for the Authority's consideration of the draft measure or draft variation.
28,defines,public_notice,submission_period,The public notice must specify the submission period for written submissions.
29,must_follow,Authority,standard_development_variation,The Authority must follow the steps for standard development or variation when an application results in such outcomes.
29,must_follow,Authority,code_of_practice_development_variation,The Authority must follow the steps for code of practice development or variation when an application results in such outcomes.
29,outlined_by,standard_development_variation,SECT_33,The steps for standard development or variation are outlined by Section 33.
29,outlined_by,standard_development_variation,SECT_34,The steps for standard development or variation are outlined by Section 34.
29,outlined_by,code_of_practice_development_variation,SECT_35,The steps for code of practice development or variation are outlined by Section 35.
30,has_responsibility,Authority,draft_standard_or_draft_variation,"The Authority has the responsibility to approve, amend, or reject the draft standard or draft variation after the submission period."
30,must_consider,Authority,submission_period,The Authority must consider all submissions made during the submission period when making a decision.
30,prepares,Authority,report,The Authority prepares a report under Section 33 after making a decision on the draft standard or draft variation.
30,includes,report,Regulation_Impact_Statement,The report includes a Regulation Impact Statement if applicable.
30,cannot_delegate,Board,Authority,The Board must not delegate its powers to act on behalf of the Authority under paragraph (a).
30,takes_effect,draft_standard_or_draft_variation,notice_under_section_92,The draft standard or draft variation does not take effect except in accordance with a notice under section 92.
31,notifies,Authority,Forum_on_Food_Regulation,The Authority must notify the Forum on Food Regulation after approving a draft standard or draft variation.
31,publishes,Authority,draft_standard_or_draft_variation,The Authority must publish a notice on its website regarding the approval of the draft standard or draft variation.
31,review_request,Forum_on_Food_Regulation,draft_standard_or_draft_variation,The Forum on Food Regulation may request the Authority to review the draft standard or draft variation.
31,provides_information,Authority,Forum_on_Food_Regulation,"Upon direction, the Authority must provide the Forum with information required for making a decision about the draft under Division 3."
31,outlines_process,Division_3,Forum_on_Food_Regulation,Division 3 outlines the process that the Forum on Food Regulation follows after receiving notification from the Authority.
32,notice,Authority,Forum_on_Food_Regulation,The Authority must give written notice of its decision regarding the draft code of practice or draft variation to the Forum on Food Regulation.
32,approval_authority,Authority,draft_code_of_practice_or_draft_variation,The Authority has the authority to approve or reject the draft code of practice or draft variation.
32,supersession_authority,Authority,other_code_of_practice,The Authority has the authority to revoke or vary another code of practice that would be superseded by its decision.
32,public_notice,Authority,public,"The Authority must give public notice of its decision, specifying the date of effect and how to obtain further information about the decision and the reasons for it."
32,non_delegation,Board,Authority,The Board is prohibited from delegating its powers to act on behalf of the Authority under subsection (1).
33,applies_to,Subdivision_Application,Variation_of_Food_Regulatory_Measure,"The Subdivision Application regulation applies to the Variation of Food Regulatory Measure when it does not impose, vary, or remove obligations or rights, or otherwise alter the legal effect of the measure."
34,must_adopt,Authority,general_procedure,The Authority must adopt the general procedure when considering an application.
34,with_modifications,general_procedure,Subdivision_modifications,The general procedure must be adopted with the modifications set out in the Subdivision.
35,modification,FOOD_STANDARDS_AUSTRALIA_NEW_ZEALAND_ACT_1991_SECT_38,section_29,Section 38 modifies the step set out in section 29
35,exemption,section_29,paragraphs_29_2_a_and_b,Paragraphs 29(2)(a) and (b) are not applied as per the modification in Section 38
35,requirement,paragraphs_29_2_a_and_b,Authority,The Authority is required to do a cost benefit analysis according to paragraphs 29(2)(a) and (b)
35,exception,FOOD_STANDARDS_AUSTRALIA_NEW_ZEALAND_ACT_1991_SECT_38,paragraphs_29_2_a_and_b,Section 38 exempts the Authority from the requirement to do a cost benefit analysis due to the minor nature of the variation
36,modification,section_39,section_30,Section 39 modifies Section 30 by indicating that subsections 30(2) and (3) are not applicable.
37,modifies,section_40,section_31,Section 40 modifies the step set out in section 31 by stating that section 31 does not apply.
37,responsible_for,Authority,draft_variation,The Authority is responsible for preparing the draft variation of the food regulatory measure.
37,must_provide,Authority,draft_variation,"After preparing a draft variation, the Authority must give written notice to the applicant and appropriate government agencies."
37,calls_for,Authority,submission_period,The Authority calls for written submissions to be made within the submission period for the purpose of its consideration of the draft variation.
38,has_responsibility,Authority,draft_variation,"The Authority has the responsibility to approve, amend, or reject the draft variation after the submission period."
38,prepares,Authority,report_under_section_41,The Authority prepares a report under Section 41 after deciding on the draft variation.
38,notifies,Authority,Forum_on_Food_Regulation,The Authority notifies the Forum on Food Regulation of the approval of the draft variation and provides a copy of the report.
38,publishes,Authority,draft_variation,The Authority publishes a notice on its website about the approval of the draft variation and where further information can be obtained.
38,request_information,Forum_on_Food_Regulation,Authority,The Forum on Food Regulation may direct the Authority to provide information required to assist the Forum in making a decision about the draft variation.
38,cannot_delegate,Board,Authority,The Board must not delegate its powers to act on behalf of the Authority under paragraph (a).
39,applies_to,Subdivision_Application,New_Food_Regulatory_Measure_Development,The Subdivision applies to the process of developing new food regulatory measures.
39,applies_to,Subdivision_Application,Food_Regulatory_Measure_Variation,The Subdivision applies to the process of varying existing food regulatory measures.
39,condition_for,Scientific_Technical_Complexity,Food_Regulatory_Measure_Variation,Scientific or technical complexity is a condition that requires the adoption of a specific procedure when considering the variation of a food regulatory measure.
39,condition_for,Significant_Scope_Change,Food_Regulatory_Measure_Variation,A significant change to the scope is a condition that requires the adoption of a specific procedure when considering the variation of a food regulatory measure.
40,adopt,Authority,general_procedure,"The Authority must adopt the general procedure in considering the application, with modifications."
41,assessment,Authority,section_29,The Authority must assess applications as outlined in Section 29.
41,procedural_step,section_44,section_30,Section 44 requires an additional step to be taken by the Authority after assessing an application under section 29 but before proceeding to the step in section 30.
41,requirement,section_44,public_notice_requirements,Section 44 outlines the requirements for the Authority to give public notice which includes several specific mandates.
41,submission_call,public_notice_requirements,Authority,The public notice must call for written submissions on matters relevant to the application to be given to the Authority within a specified period.
42,consideration,Authority,section_30,The Authority must consider all submissions made during the submission period when making a decision under section 30.
43,applies_to,Nutrition_Health_and_Related_Claims_Standard,high_level_health_claims_variation,"The Nutrition, Health and Related Claims Standard applies to applications for high level health claims variation."
43,exception,general_procedure,high_level_health_claims_variation,"The general procedure is an exception that applies when an application to vary the Nutrition, Health and Related Claims Standard does not involve a change to the list of high level health claims."
44,responsibility,Authority,subsection_22(2),The Authority must ensure that applications comply with subsection 22(2).
44,evaluation_criteria,Authority,high_level_health_claims_variation,The Authority must consider if the application is similar to previous applications or proposals for a high level health claims variation.
44,time_frame,Authority,NA,The Authority must accept or reject the application within 15 business days after it is received.
44,rejection_criteria,Authority,subsection_22(2),The Authority must reject an application if it does not comply with subsection 22(2).
44,exception,subsection_22(2),high_level_health_claims_variation,"If an application is rejected for non-compliance with subsection 22(2), it should not be considered when determining the similarity of later applications or proposals for the variation of the standard."
45,notification,Authority,applicant,The Authority must notify the applicant immediately in writing if the application has been accepted.
45,payment_obligation,applicant,charge_section_146,The applicant must pay the charge under Section 146 or the first instalment of the charge within a specified period after being notified of the application's acceptance.
45,rejection_condition,applicant,Authority,The Authority will reject the application if the charge or the first instalment of the charge is not paid within the specified period.
45,procedural_notification,Authority,applicant,The Authority must give notice in writing to the applicant identifying the procedure it will adopt in considering the application and indicating when it proposes to undertake the key steps in the procedure.
45,expedited_consideration_option,applicant,Authority,The applicant may elect to have the consideration of the application expedited by paying the charge under Section 146.
46,notice_given,Authority,High_Level_Health_Claims_Committee,The Authority must give notice of the application for a high level health claims variation to the High Level Health Claims Committee.
46,notice_given,Authority,Food_Regulation_Standing_Committee,The Authority must give notice of the application for a high level health claims variation to the Food Regulation Standing Committee.
46,application_accepted,Authority,applicant,The Authority accepts the application for a high level health claims variation from the applicant.
46,application_rejected,Authority,applicant,The Authority must reject the application if the applicant does not pay the required charge within the specified period and is seeking an exclusive capturable commercial benefit.
47,consideration,Authority,draft_high_level_health_claims_variation,The Authority must consider whether to approve the draft high level health claims variation.
47,objective,Authority,public_health_and_safety,The Authority must ensure the protection of public health and safety before approving a draft variation.
47,objective,Authority,informed_consumer_choice,The Authority must ensure the provision of adequate information relating to food to enable informed consumer choice before approving a draft variation.
47,objective,Authority,prevent_misleading_conduct,The Authority must ensure the prevention of misleading or deceptive conduct before approving a draft variation.
47,recommendation_consideration,Authority,High_Level_Health_Claims_Committee,The Authority must take into account any recommendations made by the High Level Health Claims Committee in relation to the draft variation.
47,submission_consideration,Authority,Food_Regulation_Standing_Committee,The Authority must take into account any submission made on behalf of a jurisdiction represented on the Food Regulation Standing Committee in relation to the draft variation.
47,procedure,Authority,public_notice_section_51,"The Authority must follow the procedure of giving public notice under section 51 if the applicant elects for it, and consider all submissions made during the submission period."
47,notification,Authority,draft_high_level_health_claims_variation,The Authority must notify the applicant if the draft variation differs from that sought in the application or was not sought at all.
47,time_restriction,public_notice_section_51,draft_high_level_health_claims_variation,The Authority must not give public notice calling for submissions under section 51 within 10 business days immediately after notice is given of a differing draft variation.
48,requests,applicant,public_notice,The applicant may elect to request the Authority to give a public notice calling for submissions.
48,prepares,Authority,draft_variation,The Authority prepares a draft high level health claims variation.
48,calls_for,Authority,public_notice,The Authority must give a public notice calling for written submissions if the applicant makes an election under subsection (1).
48,specifies,public_notice,submission_period,The public notice must specify the submission period for written submissions.
48,includes,public_notice,draft_variation,The public notice must include a copy of the draft high level health claims variation or state how it can be obtained.
49,consideration,Authority,High_Level_Health_Claims_Variation,The Authority must consider whether to approve or reject the High Level Health Claims Variation.
49,submission_period,Section_51_Notice,High_Level_Health_Claims_Variation,The Authority considers submissions made in response to a Section 51 Notice during the submission period for the High Level Health Claims Variation.
49,recommendation,High_Level_Health_Claims_Committee,High_Level_Health_Claims_Variation,The High Level Health Claims Committee provides recommendations to the Authority regarding the High Level Health Claims Variation.
49,submission,Food_Regulation_Standing_Committee,High_Level_Health_Claims_Variation,The Food Regulation Standing Committee may make submissions to the Authority regarding the High Level Health Claims Variation.
49,non_delegation,Section_150,Authority,The Board must not delegate its powers to the Authority under paragraph (a) in relation to approving or rejecting the High Level Health Claims Variation.
49,report_creation,Authority,High_Level_Health_Claims_Variation,The Authority must prepare a report after deciding to approve or reject the High Level Health Claims Variation.
50,must_notify,Authority,Forum_on_Food_Regulation,The Authority must notify the Forum on Food Regulation after approving a draft high level health claims variation.
50,must_provide,Authority,report_prepared_under_section_52,The Authority must provide a copy of the report prepared under section 52 to the Forum on Food Regulation.
50,may_direct,Forum_on_Food_Regulation,Authority,The Forum on Food Regulation may direct the Authority to provide information required for making a decision about the draft.
50,must_give_public_notice,Authority,submissions_called_for_under_section_51,"If submissions were called for under section 51, the Authority must give public notice of the decision."
50,outlined_in,Division_3,Forum_on_Food_Regulation,The process that the Forum on Food Regulation follows after receiving notification is outlined in Division 3.
51,considers,Authority,food_regulatory_measure,The Authority considers proposals for the development or variation of food regulatory measures.
51,calls_for,Authority,public_submissions,The Authority calls for public submissions during the assessment of proposals.
51,prepares,Authority,draft_food_regulatory_measure,The Authority prepares a draft food regulatory measure or variation based on the proposal and public submissions.
